source_idx,question,old_answer,new_answer,old_time,new_time,old_evidence,new_evidence,flag,verdict,note
51,what was the title of the other opera for which Zweig collaborated with Joseph Gregor to provide the libretto for Richard Strauss?,Daphne,Friedenstag,2024-09-01,2024-10-01 00:00:00,"… Gregor to provide Strauss with the libretto for one other opera, Daphne, in 1937.","… Gregor to provide Strauss with the libretto for one other opera, Friedenstag, in 1938.",,c,
53,"which French club, apart from Marseille, would be the next to reach the UEFA Champions League final?",Paris Saint-Germain,Monaco,2024-09-01,2024-10-01 00:00:00,…ho play in the French league system – would reach the final until Paris Saint-Germain in 2020. Marseille and their club president Bernard Tapie would later be found to have been involved in a match-fi…,… No other club from the French league would reach the final until Monaco in 2004. Marseille and their club president Bernard Tapie would later be found to have been involved in a match-fixing scandal …,,c,
58,which team does Grzegorz Kmiecik play for as a striker?,Puls Broszkowice,Pogórze Gierałtowice,2024-10-01,2024-11-01 00:00:00,… 17 April 1984) is a Polish footballer who plays as a striker for Puls Broszkowice. He is a son of former Polish international Kazimierz Kmiecik. He is a trainee of Wisła Kraków. Honours Wisła Kraków …,… 17 April 1984) is a Polish footballer who plays as a striker for Pogórze Gierałtowice. He is a son of former Polish international Kazimierz Kmiecik. He is a trainee of Wisła Kraków. Honours Wisła Kra…,,g,
67,in which state was Jim Mitchell born?,Texas,Tennessee,2024-09-01,2024-10-01 00:00:00,"…Biography Jim Mitchell was born October 19, 1947, in Shelbyville, Texas. Mitchell attended Prairie View A&M University in Prairie View, Texas, where he was a two sport athlete. An all-conference split…","…Biography Jim Mitchell was born October 19, 1947, in Shelbyville, Tennessee . Mitchell attended Prairie View A&M University in Prairie View, Texas, where he was a two sport athlete. An all-conference …",,c,
72,how many smaller groups of birds are involved in the captive breeding program for the orange-bellied parrot?,Four,Two,2024-08-01,2024-09-01 00:00:00,"…m in the previous year. With three larger breeding facilities and four smaller groups of birds involved in the captive breeding program, it is hoped the captive population will increase quickly. Carol…","…m in the previous year. With three larger breeding facilities and two smaller groups of birds involved in the captive breeding program, it is hoped the captive population will increase quickly. Caroly…",수치?,c,
73,who is the current President of the Los Angeles City Council?,Paul Krekorian,Marqueece Harris-Dawson,2024-09-01,2024-10-01 00:00:00,"…Mayor is unable to perform their duties. The current President is Paul Krekorian, a Democrat from the 2nd district. The current President pro Tempore is Marqueece Harris-Dawson from the 8th district.",…Mayor is unable to perform their duties. The current President is Marqueece Harris-Dawson from the 8th district. The current President pro Tempore is Bob Blumenfield from the 3rd district.,,g,
74,who is the current President pro Tempore of the Los Angeles City Council?,Marqueece Harris-Dawson,Bob Blumenfield,2024-09-01,2024-10-01 00:00:00,…ocrat from the 2nd district. The current President pro Tempore is Marqueece Harris-Dawson from the 8th district.,…awson from the 8th district. The current President pro Tempore is Bob Blumenfield from the 3rd district.,,g,
77,what studio does Red Hour currently have an exclusive first-look feature deal with?,20th Century Studios,20th Century Fox,2024-08-01,2024-09-01 00:00:00,"…nema, and currently has an exclusive first-look feature deal with 20th Century Studios. History Film The name was derived from a 1967 Star Trek episode, ""The Return of the Archons"", which features a s…","…nema, and currently has an exclusive first-look feature deal with 20th Century Fox. History Film The name was derived from a 1967 Star Trek episode, ""The Return of the Archons"", which features a sched…",,c,
79,what type of spirit did José Bedia Valdés receive at his initiation into Palo?,nganga,mpungu,2024-07-01,2024-08-01 00:00:00,"…vent paleros/paleras digging his corpse up for incorporation in a nganga. Palo has also been incorporated in popular culture, such as in Leonardo Padura Fuentes' 2001 novel Adiós Hemingway y La cola d…","…o their work; one example was José Bedia Valdés, who received the mpungu Sarabanda at his initiation into Palo. In other cases, artists and graphic artists have utilised Palo firmas'' in their work wi…",,c,
81,where was Anne initially trying to sail to when her efforts were thwarted by storms?,England,Scotland,2024-10-01,2024-11-01 00:00:00,"…al retinue to collect her after Anne's initial efforts to sail to England were thwarted by storms. Some years passed after the marriage before James and Anne's first child, Prince Henry, was born in 1…","…al retinue to collect her after Anne's initial efforts to sail to Scotland were thwarted by storms. Some years passed after the marriage before James and Anne's first child, Prince Henry, was born in …",,c,
82,what is the name of Ji Cheong-cheon's father?,Ji Jae-seon,Chi Chaesŏn,2024-10-01,2024-11-01 00:00:00,"…estry Ji Cheong-cheon was born as the youngest son of his father, Ji Jae-seon (池在善), and his mother, who was of the Gyeongju Lee clan, at 30 Samcheong-dong, Jongno-gu, Seoul. His hometown was Chungju,…","…estry Chi Ch'ŏngch'ŏn was born as the youngest son of his father, Chi Chaesŏn (池在善), and his mother, who was of the Gyeongju Lee clan, at 30 Samcheong-dong, Jongno-gu, Seoul. His hometown was Chungju,…",,c,
91,what is the name of the abandoned coal mine over which the school was built?,Shengwidsee,Chigwizi,2024-11-01,2024-12-01 00:00:00,"…e school was built in a valley, over an abandoned coal mine named Shengwidsee.","…e school was built in a valley, over an abandoned coal mine named Chigwizi.",,c,
104,what is the match against which the caps and goals of the Cameroon national football team players are correct?,The second match against Kenya,The match against Zimbabwe,2024-11-01,2024-12-01 00:00:00,"…ctober 2024 . Caps and goals correct as of 14 October 2024, after the second match against Kenya. Recent call-ups The following players have also been called up for the team in the last twelve months …","…vember 2024. Caps and goals correct as of 18 November 2024, after the match against Zimbabwe. Recent call-ups The following players have also been called up for the team in the last twelve months and …",수치?,g,
105,what is the name of the attraction at ICON Park located along International Drive?,The Wheel,The Orlando Eye,2024-06-01,2024-07-01 00:00:00,…and clubs are located in Downtown Orlando. Other attractions like The Wheel at ICON Park are located along International Drive.,…and clubs are located in Downtown Orlando. Other attractions like The Orlando Eye at ICON Park are located along International Drive.,,c,
107,who presented Bhima with a huge mace whose strength is equivalent to a hundred thousand maces?,Hanuman,Mayasura,2024-08-01,2024-09-01 00:00:00,… strength is equivalent to a hundred thousand maces (presented by Hanuman). Bhima distinguishes himself in battle several times throughout the war; some of Bhima's major engagements during the war inc…,… strength is equivalent to a hundred thousand maces (presented by Mayasura). Bhima distinguishes himself in battle several times throughout the war; some of Bhima's major engagements during the war in…,,c,
108,in which district of Tamil Nadu is an ashram for Bhrigu located in Maruderi?,Kanchipuram district,Chengalpattu district,2024-07-01,2024-08-01 00:00:00,"…runeermalai, and Mannargudi. An ashram for Bhrigu is in Maruderi, Kanchipuram district in Tamil Nadu. Khedbrahma in Gujarat is associated with Brahma and Bhrigu's legend of testing the Trimurti.","…runeermalai, and Mannargudi. An ashram for Bhrigu is in Maruderi, Chengalpattu district in Tamil Nadu. Khedbrahma in Gujarat is associated with Brahma and Bhrigu's legend of testing the Trimurti. Last…",,c,
114,how many times has Estonia won the Baltic Cup tournament?,Four,Five,2024-06-01,2024-07-01 00:00:00,"…Lithuania. Estonia has won the three-nation Baltic Cup tournament four times — most recently in 2020 — which is less than either of the other two teams in the tournament, Latvia and Lithuania. The rec…","…Lithuania. Estonia has won the three-nation Baltic Cup tournament five times — most recently in 2024 — which is less than either of the other two teams in the tournament, Latvia and Lithuania. The rec…",수치?,g,
147,where does Line D (yellow) of the Porto Metro terminate on the southern side of the Douro river?,Santo Ovídio,Vila d'Este,2024-06-01,2024-07-01 00:00:00,"…e D (yellow) currently runs from Hospital S. João in the north to Santo Ovídio on the southern side of the Douro river. Line F (orange), from Senhora da Hora (Matosinhos) to Fânzeres (Gondomar).","…e D (yellow) currently runs from Hospital S. João in the north to Vila d'Este on the southern side of the Douro river. Line F (orange), from Senhora da Hora (Matosinhos) to Fânzeres (Gondomar).",,g,
148,who is the drummer in RAS-1's solo act?,Joel Aguilar,Todd Elrod,2024-10-01,2024-11-01 00:00:00,"…ow is playing in his solo act RAS-1, with Jack Keller on bass and Joel Aguilar on drums. . Early life Richard Arthur Smith is the son of singer Dora Gail Smith formerly of the all girl Long Beach jazz…","…ow is playing in his solo act RAS-1, with Jack Keller on bass and Todd Elrod on drums. . Early life Richard Arthur Smith is the son of singer Dora Gail Smith formerly of the all girl Long Beach jazz q…",,g,
152,what is Brian McBride's ranking among the all-time leading goalscorers for the United States national team?,Fifth,Sixth,2024-09-01,2024-10-01 00:00:00,"…s a forward for Columbus Crew, Fulham and Chicago Fire. He is the fifth-highest all-time leading goalscorer for the United States national team. For much of his career, he played in United States with…","…s a forward for Columbus Crew, Fulham and Chicago Fire. He is the sixth-highest all-time leading goalscorer for the United States national team. For much of his career, he played in United States with…",수치?,g,
158,"what proportion of the ""two or more races"" respondents were Hispanics?",Almost one-third,Over half,2024-09-01,2024-10-01 00:00:00,"…cs make up 26,225,882 people or 42.2% of the Hispanic population. Almost one-third of the ""two or more races"" respondents were Hispanics.","…cs make up 26,225,882 people or 42.2% of the Hispanic population. Over half of the ""two or more races"" respondents were Hispanics. These Hispanics make up 20,299,960 people or 32.7% of the Hispanic po…",수치?,c,
159,what team does Connor Robertson's brother David play for as a relief pitcher?,New York Mets,Texas Rangers,2024-07-01,2024-08-01 00:00:00,"…ason. Personal life His brother David is a relief pitcher for the New York Mets. Pitch repertoire Robertson throws a hard, sinking fastball that has been clocked as high as . He also has a sweeping sl…","…ason. Personal life His brother David is a relief pitcher for the Texas Rangers. Pitch repertoire Robertson throws a hard, sinking fastball that has been clocked as high as . He also has a sweeping sl…",,g,
160,in which part of Senegal do the Serer-Ndut live mostly?,Central Senegal,Western Senegal,2024-08-01,2024-09-01 00:00:00,"…la Statistique et de la Démographie The Serer-Ndut live mostly in central Senegal in the district of Mont-Roland, northwest of the city of ancient Thiès.","…la Statistique et de la Démographie The Serer-Ndut live mostly in western Senegal in the district of Mont-Roland, northwest of the city of Thiès.",,c,
165,who is the current president of the Australian Medical Association?,Steve Robson,Dr Danielle McMullen,2024-10-01,2024-11-01 00:00:00,"…uity, Inclusion and Diversity Committee. The current president is Steve Robson.","…uity, Inclusion and Diversity Committee. The current president is Dr Danielle McMullen.",,g,
170,who is the head coach of the football team at Adrian College?,Jim Deere,Joe Palka,2024-10-01,2024-11-01 00:00:00,…t in 1911 and the most recent in 2012 and 2014. The head coach is Jim Deere who took over in 2010. Intramural sports Intramurals are part of Adrian College and the athletic department. Some of the int…,…t in 1911 and the most recent in 2012 and 2014. The head coach is Joe Palka who took over in 2024. Intramural sports Intramurals are part of Adrian College and the athletic department. Some of the int…,,g,
180,which team was Slovenia's most recent match against?,Portugal,Kazakhstan,2024-09-01,2024-10-01 00:00:00,"…, from 20 November 2023 against Kazakhstan to 1 July 2024 against Portugal Most consecutive defeats: 4 (achieved on five occasions, most recently in 2014) Most consecutive matches without victory: 9, …","…ecutive matches without defeat: 12, from 20 November 2023 against Kazakhstan to 9 September 2024 against Kazakhstan Most consecutive defeats: 4 (achieved on five occasions, most recently in 2014) Most…",,g,
187,where was one of Spock's Beard's first major live appearances?,Los Angeles Progfest,San Francisco Progfest,2024-08-01,2024-09-01 00:00:00,"…erformances. One of their first major live appearances was at the Los Angeles Progfest in 1995, where they were introduced to Thomas Waber. Waber, a founding member of Giant Electric Pea and InsideOut…","…live performances. One of their first major live shows was at the San Francisco Progfest in 1995, where they were introduced to Thomas Waber.",,c,
193,who appointed Zeine Ould Zeidane as Governor of the Central Bank of Mauritania?,Ould Taya,Maaouya,2024-06-01,2024-07-01 00:00:00,"…aaouya Ould Sid'Ahmed Taya. On June 26, 2004, he was appointed by Ould Taya as Governor of the Central Bank of Mauritania.""Nomination d'un nouveau gouverneur de la Banque Centrale de Mauritanie"", AMI,…","… later served as economic Counsel to the President of Mauritania, Maaouya Ould Sid'Ahmed Taya. On June 26, 2004, he was appointed by Maaouya as Governor of the Central Bank of Mauritania.""Nomination d…",,c,
196,how many Kentucky Miss Basketball winners were drafted into the WNBA?,Four,Six,2024-06-01,2024-07-01 00:00:00,…t one of these players has gone on to play basketball in college. Four of them were drafted into the WNBA. Award winners YearPlayerHigh SchoolCollegeWNBA Draft1976Donna MurphyNewportMorehead State1977…,…t one of these players has gone on to play basketball in college. Six of them were drafted into the WNBA. Award winners YearPlayerHigh SchoolCollegeWNBA Draft1976Donna MurphyNewportMorehead State1977G…,수치?,c,
203,in which district of Istanbul is Gülhane Park located?,Eminönü,Fatih,2024-11-01,2024-12-01 00:00:00,"…lhane Park (, ""Rosehouse Park"") is a historical urban park in the Eminönü district of Istanbul, Turkey; it is adjacent to and on the grounds of the Topkapı Palace. The south entrance of the park sport…","…lhane Park (, ""Rosehouse Park"") is a historical urban park in the Fatih district of Istanbul, Turkey; it covers an area of 9.7 ha, is adjacent to and on the grounds of the Topkapı Palace. The south en…",,c,
210,which club does Mohammad Fazal play for as a left-back?,Nordic United,IMT,2024-07-01,2024-08-01 00:00:00,"…sional footballer who plays as a left-back for Ettan Fotboll club Nordic United. Born in Denmark, he represents the Pakistan national team. Club career Early career Fazal started his youth career with…","…al footballer who plays as a left-back for Serbian SuperLiga club IMT. Born in Denmark, he represents the Pakistan national team. Club career Early career Fazal started his youth career with FC Roskil…",,g,
211,what is the newest member of the World Trade Organization?,Afghanistan,Timor-Leste,2024-08-01,2024-09-01 00:00:00,"… for WTO observer status in October 2009 and again in April 2010. Afghanistan is the newest member, joining effective 29 July 2016. Russia was one of the only two large economies outside of the WTO af…","… for WTO observer status in October 2009 and again in April 2010. Timor-Leste is the newest member, joining effective 30 August 2024. Russia was one of the only two large economies outside of the WTO …",,g,
215,what league were Ipswich Town managers managing in when they won the Manager of the Season award?,Premier League,Championship,2024-06-01,2024-07-01 00:00:00,…ar award whilst managing for Ipswich Town: 2000–01: George Burley Premier League Manager of the Season The following have won the Premier League Manager of the Season award whilst managing for Ipswich…,"… 1999–2000 First Division: Richard Wright, Marcus Stewart 2004–05 Championship: Kelvin Davis 2013–14 Championship: Aaron Cresswell 2014–15 Championship: Daryl Murphy 2022–23 League One: Leif Davis, Sa…",,c,
222,what is the match after which the caps and goals are correct for the Malta national football team?,Greece,Moldova,2024-10-01,2024-11-01 00:00:00,"…aps and goals correct as of 11 June 2024, after the match against Greece. Recent call-ups The following players have been called up within the last 12 months. INJ RET INJ Player is injured COV Withdre…","…owing players were called-up for the Nations League match against Moldova on 13 October 2024. Caps and goals correct as of 13 October 2024, after the match against Moldova. Recent call-ups The followi…",,g,
227,how many daughters did Nafis Sadik have that survived her?,Four daughters,Three daughters,2024-10-01,2024-11-01 00:00:00,…dik's husband and a daughter predeceased her. She was survived by four daughters and a son. Awards (1995) Prince Mahidol Award from the Prince Mahidol Award Foundation Branch Public Health (2000) Marg…,…dik's husband and a daughter predeceased her. She was survived by three daughters and a son. Awards (1995) Prince Mahidol Award from the Prince Mahidol Award Foundation Branch Public Health (2000) Mar…,수치?,c,
232,who produces Cadbury Creme Egg confectionery in Canada?,Cadbury Adams,Mondelez International,2024-07-01,2024-08-01 00:00:00,"…ited Kingdom, by The Hershey Company in the United States, and by Cadbury Adams in Canada.","…ited Kingdom, by The Hershey Company in the United States, and by Mondelez International in Canada.",,g,
238,which constituency has the smallest number of electors when compared to Val-d'Oise?,Lozère,Saint-Pierre-et-Miquelon,2024-06-01,2024-07-01 00:00:00,"… example, the Val-d'Oise constituency has 188,000 electors, while Lozère has just 34,000.Source in French: Stéphane Mandard (2007) Un rapport préconisait le remodelage des circonscriptions avant les l…","… example, the Val-d'Oise constituency has 188,000 electors, while Saint-Pierre-et-Miquelon near Canada has just 6,000.Source in French: Stéphane Mandard (2007) Un rapport préconisait le remodelage des…",,c,
239,what type of Louisiana cuisine is sassafras featured in?,Louisiana Creole cuisine,Louisiana Cajun cuisine,2024-09-01,2024-10-01 00:00:00,"…ct national foods such as traditional root beer, filé powder, and Louisiana Creole cuisine. Sassafras albidum was an important plant to many Native Americans of the southeastern United States and was …","…ct national foods such as traditional root beer, filé powder, and Louisiana Cajun cuisine. Sassafras albidum was an important plant to many Native Americans of the southeastern United States and was u…",,c,
241,what was the origin of Rabbi Barbara Aiello's family?,Italian Jewish,Italian Catholic,2024-06-01,2024-07-01 00:00:00,"…rst non-Orthodox rabbi. She was born in Pittsburgh to a family of Italian Jewish origin and was ordained at the Rabbinical Seminary International in New York at the age of 51. She also, in 1977, creat…","…rst non-Orthodox rabbi. She was born in Pittsburgh to a family of Italian Catholic origin and was ordained at the Rabbinical Seminary International in New York at the age of 51. She also, in 1977, cre…",,c,
244,which show is the most recent recipient of the Daytime Emmy Award for Outstanding Drama Series Writing Team?,Days of Our Lives,General Hospital,2024-11-01,2024-12-01 00:00:00,"…hich was the first tie in this category. As of the 2022 ceremony, Days of Our Lives is the most recent recipient of the award. Winners and nominees Listed below are the winners of the award for each y…","…hich was the first tie in this category. As of the 2024 ceremony, General Hospital is the most recent recipient of the award. Winners and nominees Listed below are the winners of the award for each ye…",,g,
245,what was the original name of the Roman Catholic Archdiocese of Córdoba when it was erected?,Diocese of Córdoba,Diocese of Tucumán,2024-07-01,2024-08-01 00:00:00,"The Roman Catholic Archdiocese of Córdoba (erected 10 May 1570, as the Diocese of Córdoba) is in Argentina and is a metropolitan diocese and its suffragan sees include Cruz del Eje, San Francisco, Vil…","…oman Catholic Archdiocese of Córdoba (erected 10 May 1570, as the Diocese of Tucumánnot to be confused with the current Roman Catholic Archdiocese of Tucumán) is in Argentina and is a metropolitan dio…",,c,
249,what ethnicity was Nabi Bakhsh Khan Baloch?,Baloch,Sindhi,2024-06-01,2024-07-01 00:00:00,"Nabi Bakhsh Khan Baloch (; 16 December 1917 – 6 April 2011) was a Baloch research scholar, historian, sindhologist, educationist, linguist and writer. He predominantly wrote in Sindhi, but sometimes i…","Nabi Bakhsh Khan Baloch (; 16 December 1917 – 6 April 2011) was a Sindhi research scholar, historian, sindhologist, educationist, linguist and writer. He predominantly wrote in Sindhi, including Urdu,…",,c,
250,how old was Eugene James when he drowned at Oak Street Beach?,Twenty years old,Nineteen years old,2024-06-01,2024-07-01 00:00:00,"…Race Course was in full swing. During the evening of June 10, the twenty-year-old James and two friends went to Chicago's popular Oak Street Beach on Lake Michigan where he went swimming, and drowned.…","…Race Course was in full swing. During the evening of June 10, the nineteen-year-old James and two friends went to Chicago's popular Oak Street Beach on Lake Michigan where he went swimming, and drowne…",수치?,c,
251,what organization owns roughly 70% of the houses in Salterbeck?,Impact Housing Association,Riverside Housing Association,2024-06-01,2024-07-01 00:00:00,…elocating to the area. Roughly 70% of the houses are now owned by Impact Housing Association and the remainder are privately owned. Salterbeck is bordered by Westfield and Mossbay to the north and Har…,…elocating to the area. Roughly 70% of the houses are now owned by Riverside Housing Association and the remainder are privately owned. Salterbeck is bordered by Westfield and Mossbay to the north and …,,g,
252,what team is Kevin Schindler associated with in a management capacity?,Havnar Bóltfelag,Werder Bremen II,2024-09-01,2024-10-01 00:00:00,"…er. He is player and manager of Faroe Islands Premier League side Havnar Bóltfelag. Club career Schindler was born in Delmenhorst. While under contract with Bundesliga side Werder Bremen, he went on l…","…r who played as a right winger. He works as assistant manager for Werder Bremen II. Club career Schindler was born in Delmenhorst. While under contract with Bundesliga side Werder Bremen, he went on l…",,g,
254,what is the name of the highest peak in the Gollak region?,Gollak-Lisica,Bjeshka e Artanës,2024-09-01,2024-10-01 00:00:00,"… Gjilan in Kosovo are located by the mountains. The highest peak, Gollak-Lisica, has an elevation of above sea level. Gollak itself is split into Upper Gollak and Lower Gollak. Etymology The toponym G…","… Gjilan in Kosovo are located by the mountains. The highest peak, Bjeshka e Artanës, has an elevation of 1260 meters above sea level. Gollak itself is split into Upper Gollak and Lower Gollak. Etymolo…",,c,
256,what is the equivalent floor number in U.S. usage for the third and top floor of Ca' Rezzonico?,second floor,fourth floor,2024-11-01,2024-12-01 00:00:00,"…ini Collection and Mestrovich Collection The third and top floor (second floor in U.S. usage) has a recreation of an 18th-century Venetian pharmacy, which was reconstituted in 1936 with original mater…","…ini Collection and Mestrovich Collection The third and top floor (fourth floor in U.S. usage) has a recreation of an 18th-century Venetian pharmacy, which was reconstituted in 1936 with original mater…",수치?,c,
260,what is the name of the renowned jazz band under Director of Bands Jeremy Lumpkin at Hillgrove?,Jazz I Band,Jazz Orchestra,2024-07-01,2024-08-01 00:00:00,"…am. Jazz Band Under Director of Bands Jeremy Lumpkin, Hillgrove's Jazz I Band has become renowned state-wide, having played at the GMEA In-Service Conference in January 2023. The ensemble performed at…","…am. Jazz Band Under Director of Bands Jeremy Lumpkin, Hillgrove's Jazz Orchestra has become renowned state-wide, having played at the GMEA In-Service Conference in January 2023. The ensemble performed…",,c,
262,what type of Catholic family was A. K. Antony born to?,Latin Catholic,Syrian Catholic,2024-10-01,2024-11-01 00:00:00,"…ngadi (1995). Early life and education A. K. Antony was born to a Latin Catholic family at Cherthala, near Alleppey in Travancore as the son of Arackaparambil Kurien Pillai and Aleykutty Kurian. His f…","Early life and education A. K. Antony was born to a Latin Catholic family at Cherthala, near Alleppey in Travancore as the son of Arackaparambil Kurien Pillai and Aleykutty Kurian. His father died in …",,c,
264,how many major expansion packs have been released for Guild Wars 2?,Five,Six,2024-09-01,2024-10-01 00:00:00,"…on Steam as part of the game's 10th year anniversary celebration. Five major expansion packs have been released for the game thus far; Heart of Thorns (2015), Path of Fire (2017), End of Dragons (2022…","…on Steam as part of the game's 10th year anniversary celebration. Six major expansion packs have been released for the game thus far; Heart of Thorns (2015), Path of Fire (2017), End of Dragons (2022)…",수치?,g,
265,who is the Municipal President (Mayor) of San Pedro?,Miguel Treviño de Hoyos,Mauricio Fernandez,2024-11-01,2024-12-01 00:00:00,"… 2014. Government The Municipal President (Mayor) of San Pedro is Miguel Treviño de Hoyos, an independent candidate. San Pedro Garza Garcia was founded in 1596. The land was converted into a large pla…","… 2014. Government The Municipal President (Mayor) of San Pedro is Mauricio Fernandez, a candidate of PAN (National Action Party). San Pedro Garza Garcia was founded in 1596. The land was converted int…",,g,
266,"what character did Terri Conn portray on CBS' ""As the World Turns""?",Katie Snyder,Katie Peretti,2024-08-01,2024-09-01 00:00:00,"…how Breaker High. From 1998 to its finale in 2010, Conn portrayed Katie Snyder on CBS' As the World Turns. In December 2010, she joined One Life to Live in the newly created role of Aubrey Wentworth, …","…how Breaker High. From 1998 to its finale in 2010, Conn portrayed Katie Peretti on CBS' As the World Turns. In December 2010, she joined One Life to Live in the newly created role of Aubrey Wentworth,…",,c,
271,what match is used as the reference point for the correctness of caps and goals?,The match against San Marino,The match against Malta,2024-10-01,2024-11-01 00:00:00,"…tively. Caps and goals are correct as of 10 September 2024, after the match against San Marino. Recent call-ups The following players have also been called up to the Moldova squad within the last 12 m…","…ectively. Caps and goals are correct as of 13 October 2024, after the match against Malta. Recent call-ups The following players have also been called up to the Moldova squad within the last 12 months…",,g,
