source_idx,question,old_answer,new_answer,old_time,new_time,old_evidence,new_evidence,flag,verdict,note
3687,what is Jamie Day's current role at Milton Keynes Dons?,First-team coach,Assistant Manager,2024-11-01,2024-12-01 00:00:00,…is an English football manager and former player. He is currently first-team coach of Milton Keynes Dons and was formerly the head coach of Bangladesh national football team. Playing career Day began …,…is an English football manager and former player. He is currently Assistant Manager of Milton Keynes Dons and was formerly the head coach of Bangladesh national football team. Playing career Day began…,수치?,g,
3693,what is Jennifer Dragon's original name?,Jennifer Wilson,Jennifer Murphy,2024-07-01,2024-08-01 00:00:00,"Jennifer Dragon, originally Jennifer Wilson and sometimes using the codename Smasher, is a recurring comic book character in Erik Larsen's Savage Dragon and Robert Kirkman's Invincible. The wife of th…","Jennifer Dragon, originally Jennifer Murphy and sometimes using the codename Smasher, is a recurring comic book character in Erik Larsen's Savage Dragon and Robert Kirkman's Invincible. The wife of th…",,c,
3696,"who released the single ""The Pentecostal Poppa"" independently?",BB Jay,Cooper,2024-06-01,2024-07-01 00:00:00,"Mitchell Sr. (aka Rap'n Rev). Career In 1997, BB Jay released his first single independently, called ""The Pentecostal Poppa"". The single was successful on radio and received rotation on BET. A year af…","… New Jersey where he met gospel rapper Rap'n Rev. Career In 1997, Cooper released his first single independently, called ""The Pentecostal Poppa"". The single was successful on radio and received rotati…",,c,
3713,who is the current deputy leader of the Fine Gael party?,Heather Humphreys TD,Helen McEntee TD,2024-10-01,2024-11-01 00:00:00,"…Harris. The position of deputy leader has been held since 2024 by Heather Humphreys TD, the Minister for Rural and Community Development and Minister for Social Protection. Party leader The following …","…Harris. The position of deputy leader has been held since 2024 by Helen McEntee TD, the Minister for Justice. Party leader The following are the terms of office as party leader, and as Taoiseach (bold…",,g,
3722,who sub-licensed a package of fifteen Milwaukee Brewers games for broadcast on Milwaukee independent station WMLW-CA?,Bally Sports Wisconsin,FanDuel Sports Network Wisconsin,2024-10-01,2024-11-01 00:00:00,"Programming Bally Sports Wisconsin holds the regional cable television rights to Major League Baseball games from the Milwaukee Brewers, NBA games from the Milwaukee Bucks (whose telecasts became excl…","…y-contracted outdoors programming on weekends. From 2007 to 2011, FanDuel Sports Network Wisconsin sub-licensed a package of fifteen Milwaukee Brewers games for broadcast on Milwaukee independent stat…",,g,
3727,what is the color of the big star on the center of the state outlines of Indiana and Ohio on the flag of Union City?,White,Blue,2024-10-01,2024-11-01 00:00:00,"…esign features a red background with a blue stripe, surrounding a white skinny stripe. The colors represent the United States. On the center is a big white star on the center of the state outlines of …","…people of Union City. The design features a red background with a blue stripe, surrounding a white skinny stripe. The colors represent the United States. On the center is a big blue star on the center…",,c,
3728,what organization awarded Nicholas Roth the Beethoven Fellowship?,American Pianists Association,American Piano Awards,2024-11-01,2024-12-01 00:00:00,…e United States and Europe. He was a 1993 Beethoven Fellow of the American Pianists Association.,…e United States and Europe. He was a 1993 Beethoven Fellow of the American Piano Awards.,,g,
3732,who went on to have an 11-year career in the NFL despite suffering a career-threatening injury his junior season as a defensive end?,Darryl,Ashmore,2024-08-01,2024-09-01 00:00:00,…offensive side as a senior and made the Dean's List academically. Darryl went on to have an 11-year career in the NFL despite suffering a career-threatening injury his junior season as a defensive end…,…offensive side as a senior and made the Dean's List academically. Ashmore went on to have an 11-year career in the NFL despite suffering a career-threatening injury his junior season as a defensive en…,,c,
3733,how many books has Lisa Zunshine authored or edited?,Twelve,Thirteen,2024-08-01,2024-09-01 00:00:00,"…y, Lexington; a Guggenheim fellow (2007); and author or editor of twelve books, including Getting Inside Your Head: What Cognitive Science Can Tell Us about Popular Culture (Johns Hopkins UP, 2012),Th…","…y, Lexington; a Guggenheim fellow (2007); and author or editor of thirteen books, including Getting Inside Your Head: What Cognitive Science Can Tell Us about Popular Culture (Johns Hopkins UP, 2012),…",수치?,c,
3734,what was Mar Shimun Bar Sabbae's ethnicity or affiliation as the Bishop of Seleucia-Ctesiphon?,Assyrian,Chaldean,2024-08-01,2024-09-01 00:00:00,"Mar Shimun Bar Sabbae (; died Good Friday, 345) was the Assyrian Bishop of Seleucia-Ctesiphon, from Persia, the de facto head of the Church of the East, until his death. He was bishop during the perse…","Mar Shimun Bar Sabbae (; died Good Friday, 345) was the Chaldean Bishop of Seleucia-Ctesiphon, from Persia, the de facto head of the Church of the East, until his death. He was bishop during the perse…",,c,
3737,how many albums did Roy Rosselló record with Menudo?,Eight,Six,2024-07-01,2024-08-01 00:00:00,"…1986 and debuted on the album A Todo Rock. He recorded a total of eight albums with the group. During his time, Menudo reached great popularity in Asia, more specifically in the Philippines and Japan.","…e album, including Reaching Out and Mania. He recorded a total of six albums with the group, with the second half of the albums he was in, he had lead vocals on one song per each album. During his tim…",수치?,c,
3739,"what certification level did the Recording Industry Association of America (RIAA) award to Ciara's album ""Goodies""?",Triple platinum,Quadruple platinum,2024-06-01,2024-07-01 00:00:00,…peaked at number two on the former chart. The album was certified triple platinum by the Recording Industry Association of America (RIAA) and received two nominations at the 48th Annual Grammy Awards.…,…peaked at number two on the former chart. The album was certified quadruple platinum by the Recording Industry Association of America (RIAA) and received two nominations at the 48th Annual Grammy Awar…,,c,
3742,who is the current Miss Colombia?,Sofía Osío Luna of Atlántico,Catalina Duque Abréu of Antioquia,2024-11-01,2024-12-01 00:00:00,"…ty pageant organization in Colombia. The current Miss Colombia is Sofía Osío Luna of Atlántico, who was crowned on 14 November 2022. Pageant rules Colombia has rigid and strict rules regarding partici…","…ty pageant organization in Colombia. The current Miss Colombia is Catalina Duque Abréu of Antioquia, who was crowned on 10 November 2024. Pageant rules Colombia has rigid and strict rules regarding pa…",,g,
3743,what is the nationality of film director Tulsi Ghimire?,Indian,Nepalese,2024-07-01,2024-08-01 00:00:00,"Tulsi Ghimire is an Indian film director, screenwriter, film editor, cameraman, actor and lyricist known for his works in Nepali films. Regarded as one of the greatest filmmakers of Nepali cinema, he …","Tulsi Ghimire is a Nepalese film director, screenwriter, film editor, cameraman, actor and lyricist known for his works in Nepali films. Regarded as one of the greatest filmmakers of Nepali cinema, he…",,c,
3744,how many field goals did Nat Hickey attempt in his game(s) with the Providence Steamrollers?,six,one,2024-07-01,2024-08-01 00:00:00,"…before his 46th birthday, and appeared in two games. He attempted six field goals – making none – and committed five personal fouls. He scored two points off of foul shots. All of the shots occurred i…",…ttempt and committed four personal fouls. The Knicks' margin ballooned to 19 points during Hickey's playing time and they eventually won the game 75–71. Hickey was two days away from his 46th birthday…,수치?,c,
3745,which team does Craig Naptali Westcarr play for as a striker?,Hucknall Town,Clay Cross Town,2024-07-01,2024-08-01 00:00:00,"… is an English professional footballer who plays as a striker for Hucknall Town, having signed from Newark in July 2021.Craig Westcarr Makes The Move To The Gingerbreads, granthamtownfc.com, 5 June 20…","… is an English professional footballer who plays as a striker for Clay Cross Town. He began his career at Nottingham Forest, becoming the youngest player ever to play for the club when he made his fir…",,g,
3757,what ranking does Simon Madden hold in league history for the number of senior matches played?,Sixth,Eighth,2024-06-01,2024-07-01 00:00:00,"… second-most by any Essendon player (behind Dustin Fletcher), and sixth-most in league history (behind Michael Tuck, Kevin Bartlett, Brent Harvey, Robert Harvey, and Dustin Fletcher). In addition to p…","… second-most by any Essendon player (behind Dustin Fletcher), and eighth-most in league history (behind Brent Harvey, Michael Tuck, Shaun Burgoyne, Kevin Bartlett, Dustin Fletcher, Scott Pendlebury an…",,c,
3774,what high school serves the Rosscarrock community?,Ernest Manning High,Central Memorial High School,2024-07-01,2024-08-01 00:00:00,"…ousing was used for renting. Education The community is served by Ernest Manning High and Rosscarrock Elementary public schools, as well as by St.","…ousing was used for renting. Education The community is served by Central Memorial High School and Rosscarrock Elementary public schools, as well as by St.",,g,
3776,in what month was the Bell Branch railway line opened?,April,May,2024-07-01,2024-08-01 00:00:00,"…geable with Cattle Creek as a description of the general area. In April 1906, the Bell Branch railway line was opened linking to the Western railway line at Dalby with the following (now-abandoned) st…","…geable with Cattle Creek as a description of the general area. In May 1906, the Bell Branch railway line was opened linking to the Western railway line at Dalby with the following (now-abandoned) stat…",,c,
3778,what club is Andrea Sottil the head coach of?,Udinese,Salernitana,2024-06-01,2024-07-01 00:00:00,"…s a defender. He was most recently the head coach of Serie A club Udinese. Player career Sottil started his career with Torino and made his Serie A debut on 6 December 1992, in a 1–1 draw to Foggia. I…","…footballer who played as a defender. He is the head coach of club Salernitana. Player career Sottil started his career with Torino and made his Serie A debut on 6 December 1992, in a 1–1 draw to Foggi…",,g,
3786,"which countries use the Tanbur in their traditional music, aside from Iran, India, Armenia, Afghanistan, Azerbaijan, Pakistan, Turkey, Tajikistan, Kazakhstan, and Uzbekistan?",Kurdistan,Iraq,2024-10-01,2024-11-01 00:00:00,"…ese instruments are used in the traditional music of Iran, India, Kurdistan, Armenia, Afghanistan, Azerbaijan (especially Avar community), Pakistan, Turkey, Tajikistan, Kazakhstan, and Uzbekistan. Ori…","…ms."" These instruments are used in the traditional music of Iran, Iraq, India, Armenia, Afghanistan, Azerbaijan (especially Avar community), Pakistan, Turkey, Tajikistan, Kazakhstan, and Uzbekistan. O…",,c,
3791,how many schools are in the Auburn Bay Community?,Three,Five,2024-10-01,2024-11-01 00:00:00,"…hich is home to over 5400 houses. Auburn Bay Community is home to three schools: Auburn Bay K-4 & Prince of Peace K-9, Future Catholic Elementary & Public Junior Highschool, and Lakeshore School 5–9. …","…hich is home to over 5400 houses. Auburn Bay Community is home to five schools: Auburn Bay K-4 & Prince of Peace K-9, St. Gianna Catholic School K-6, Bayside School K-5, and Lakeshore School 5–9. 15 p…",수치?,c,
3809,"where were the ""News-Times"" and ""Record"" published until 2010?",Coupeville,Oak Harbor,2024-07-01,2024-08-01 00:00:00,…ormed from the 1959 merger of the Island County Times (founded in Coupeville in 1891) with the Oak Harbor News. The News-Times and Record were published in Coupeville until 2010. References External l…,"… the Island County Times (founded in Coupeville in 1891) with the Oak Harbor News, and was acquired by Sound Publishing (then Whidbey Press) in 1987. The News-Times was published in Oak Harbor until 2…",,c,
3812,where did Weizmann manage to obtain a decision to invest the sum?,Palestine,Israel,2024-11-01,2024-12-01 00:00:00,"…he beneficiary was not specifically the British administration in Palestine, but the British government in London; Kadoorie had granted it the choice of whether to invest in Palestine or Iraq. There w…","…he beneficiary was not specifically the British administration in Israel, but the British government in London; Kadoorie had granted it the choice of whether to invest in Israel or Iraq. There was no …",,c,
3823,which NFL team does Isaiah Oliver play for?,San Francisco 49ers,New York Jets,2024-07-01,2024-08-01 00:00:00,…yed college football at Colorado and now plays in the NFL for the San Francisco 49ers.,…yed college football at Colorado and now plays in the NFL for the New York Jets.,,g,
3825,in what month was the Cream City Base Ball Club organized?,October,August,2024-11-01,2024-12-01 00:00:00,"…eam Citys. History The Cream City Base Ball Club was organized in October 1865, with Henry H. West as its first president, and rose to the upper echelon of Midwestern amateur teams. At first they play…","…eam Citys. History The Cream City Base Ball Club was organized in August 1865The Daily Milwaukee News, Aug 18, 1865, with Henry H. West as its first president, and rose to the upper echelon of Midwest…",,c,
3828,"what city's ""panisse"" are ""panelle"" very similar to?",Nice,Marseille,2024-06-01,2024-07-01 00:00:00,"…torical documentation. Panelle are very similar to the panisse of Nice.Colman Andrews et al., ""Panelle"", Country Cooking of Italy, 2012. . p.","…torical documentation. Panelle are very similar to the panisse of Marseille. These sandwiches have become very popular among Sicilian Americans in Brooklyn, New York, specifically in Gravesend and Ben…",,c,
3839,how many members were called to the upper house in the first appointments to the Legislative Council?,Twelve,Thirteen,2024-11-01,2024-12-01 00:00:00,"…t appointments to the Legislative Council were made in 1853, when twelve members were called to the upper house. They were John Salmon, William Swainson and Frederick Whitaker on 26 May 1853; Mathew R…","…t appointments to the Legislative Council were made in 1853, when thirteen members were called to the upper house. They were John Salmon, William Swainson and Frederick Whitaker on 26 May 1853; Mathew…",수치?,c,
3846,how many linear equations are required to form a system of linear equations?,One or more,Two or more,2024-06-01,2024-07-01 00:00:00,"… system of linear equations (or linear system) is a collection of one or more linear equations involving the same variables. For example, is a system of three equations in the three variables . A solu…","… system of linear equations (or linear system) is a collection of two or more linear equations involving the same variables. https://www.britannica.com/science/system-of-equations For example, is a sy…",수치?,c,
3848,where does Elektra flee with Mark and Abby through the secret underground exit?,An orchard,A forest,2024-06-01,2024-07-01 00:00:00,"…tra flees with Mark and Abby through a secret underground exit to an orchard, while McCabe sacrifices himself to buy them time.","…tra flees with Mark and Abby through a secret underground exit to a forest, while McCabe sacrifices himself to buy them time.",,c,
3853,"who is working on a new CD to be released at the end of 2010, singing three songs alongside Hangama and Shadkam, for the upcoming movie Ehsas?",Vahid,Soroor,2024-11-01,2024-12-01 00:00:00,"Vahid can also sing in English. Vahid gets his motivation for the music of Afghanistan from the earlier legend Ahmad Zahir, Farhad Darya and Amir Jan Sabori who have employed energy, emotions, creativ…","…ity and professionalism to represent their art and their country. Soroor's most recent projects include a new CD which will be released at the end of 2010, singing three songs alongside Hangama and Sh…",,c,
3854,who is the Atlanta Falcons' most recent first-round selection?,Drake London,Michael Penix Jr,2024-07-01,2024-08-01 00:00:00,"… any university. The team's most recent first-round selection was Drake London, a wide receiver from the University of Southern California. Key +Table key^ Indicates the player was inducted into the P…","… any university. The team's most recent first-round selection was Michael Penix Jr, a quarterback from the University of Washington. Key +Table key^ Indicates the player was inducted into the Pro Foot…",,g,
3879,who were the security forces believed to have killed al-Absi?,Lebanese security forces,Syrian security forces,2024-06-01,2024-07-01 00:00:00,…-Islam announced that al-Absi was believed to have been killed by Lebanese security forces. Biography Absi joined the Palestinian militants at a young age. He volunteered to fight with the Libyan army…,…-Islam announced that al-Absi was believed to have been killed by Syrian security forces. Biography Absi joined the Palestinian militants at a young age. He volunteered to fight with the Libyan army i…,,c,
3886,in which league tier does FK Rad compete?,third tier,fourth tier,2024-08-01,2024-09-01 00:00:00,"…elgrade, Serbia. They compete in the Serbian League Belgrade, the third tier of the national league system. Founded in 1958, the club spent a total of 30 seasons in the top flight between 1987 and 202…","…, Belgrade, Serbia. They compete in the Belgrade Zone League, the fourth tier of the national league system. Founded in 1958, the club spent a total of 30 seasons in the top flight between 1987 and 20…",수치?,g,
3887,what type of drivers did three constructors enter over the course of the season?,Free-practice-only drivers,Friday-testing-only drivers,2024-06-01,2024-07-01 00:00:00,…eved 5 July 2015 Free practice drivers Three constructors entered free-practice-only drivers over the course of the season. + Drivers that took part in free practice sessionsConstructorPractice driver…,…g Retrieved 5 July 2015 Friday drivers Three constructors entered Friday-testing-only drivers over the course of the season. + Drivers that took part in Friday testing sessionsConstructorFriday driver…,,c,
3888,who is the current head coach of the Mozambique national football team?,Victor Matine,Chiquinho Conde,2024-06-01,2024-07-01 00:00:00,"… and can hold 42,000 spectators. The team's current head coach is Victor Matine, who became manager in July 2019, replacing previous head coach and former Portugal international Abel Xavier, who had b…","… and can hold 42,000 spectators. The team's current head coach is Chiquinho Conde, who became manager in July 2019, replacing previous head coach and former Portugal international Abel Xavier, who had…",,g,
3889,which team's match is used as the reference point for the caps and goals of Mozambique's players?,South Africa,Eswatini,2024-10-01,2024-11-01 00:00:00,"…aps and goals correct as of 26 June 2024, after the match against South Africa.","…s were called up for the 2025 AFCON qualification matches against Eswatini on 11 and 14 October 2024. Caps and goals correct as of 11 October 2024, after the match against Eswatini.",,c,
3890,what type of steam locomotive is the South Australian Railways 520 class?,Heavy Mountain,Northern,2024-08-01,2024-09-01 00:00:00,"…nown as ""The Whispering Giants"", is a class of streamliner 4-8-4 'Heavy Mountain' type steam locomotive operated by the former South Australian Railways. The 520 class is one of the fastest Australian…","…nown as ""The Whispering Giants"", is a class of streamliner 4-8-4 'Northern' type steam locomotive operated by the former South Australian Railways. The 520 class is one of the fastest Australian-built…",,c,
3891,what is the ranking of Festival d'été de Québec among outdoor musical events/music festivals in Canada?,Third,Second,2024-07-01,2024-08-01 00:00:00,"Festival d'été de Québec (FEQ) is the third biggest outdoor musical event in Canada. The event was held since 1968, the 11-day festival takes place every year in July. FEQ's programming includes many …","The Festival d'été de Québec (FEQ) is the second biggest music festival in Canada. The event was held since 1968, the 11-day festival takes place every year in July. FEQ's programming includes many in…",수치?,c,
3900,what is the destination of the Portal project that includes the construction of an underground 4th and King station?,Transbay Terminal,Salesforce Transit Center,2024-08-01,2024-09-01 00:00:00,…tal project (formerly the Downtown Rail Extension) to the rebuilt Transbay Terminal includes the construction of an underground 4th and King station. The underground portion will be adjacent to the cu…,…tal project (formerly the Downtown Rail Extension) to the rebuilt Salesforce Transit Center includes the construction of an underground 4th and King station. The underground portion will be adjacent t…,,g,
3901,"in which district of Tamil Nadu is the village of Sholinghur, where Thirukkadigai or Sholingapuram is located?",Vellore district,Ranipet district,2024-07-01,2024-08-01 00:00:00,"Thirukkadigai or Sholingapuram in Sholinghur, a village in Vellore district of the South Indian state of Tamil Nadu, is dedicated to the Hindu god Vishnu. Constructed in the Dravidian style of archite…","Thirukkadigai or Sholingapuram in Sholinghur, a village in Ranipet district of the South Indian state of Tamil Nadu, is dedicated to the Hindu god Vishnu. Constructed in the Dravidian style of archite…",,g,
3903,how many players have accomplished the feat of scoring 500 or more goals at a single club?,Eight,Nine,2024-06-01,2024-07-01 00:00:00,"…he 500-goal mark, doing so in 1927 shortly before his retirement. Eight players have accomplished the feat at a single club, among them Josef Bican (Slavia Prague), Jimmy Jones (Glenavon), Jimmy McGro…","…he 500-goal mark, doing so in 1927 shortly before his retirement. Nine players have accomplished the feat at a single club, among them Josef Bican (Slavia Prague), Jimmy Jones (Glenavon), Jimmy McGror…",수치?,c,
3904,"how many players have accomplished the feat of scoring 500 or more goals at a single club, among whom Lionel Messi is included?",Eight,Nine,2024-06-01,2024-07-01 00:00:00,"…he 500-goal mark, doing so in 1927 shortly before his retirement. Eight players have accomplished the feat at a single club, among them Josef Bican (Slavia Prague), Jimmy Jones (Glenavon), Jimmy McGro…","…he 500-goal mark, doing so in 1927 shortly before his retirement. Nine players have accomplished the feat at a single club, among them Josef Bican (Slavia Prague), Jimmy Jones (Glenavon), Jimmy McGror…",수치?,c,
3910,in which league does the Kyneton Football Club compete?,Bendigo Football League,Riddell District Football League,2024-06-01,2024-07-01 00:00:00,"…lian rules football team, Kyneton Football Club, competing in the Bendigo Football League. Kyneton has a horse racing club, the Kyneton District Racing Club, which schedules around sixteen race meetin…","…lian rules football team, Kyneton Football Club, competing in the Riddell District Football League. Kyneton has a horse racing club, the Kyneton District Racing Club, which schedules around sixteen ra…",,g,
3919,what group of Black men did Waters reveal to Wilkie that he hated?,Black men like C.J.,Gullah-speaking Southern Blacks like C.J.,2024-06-01,2024-07-01 00:00:00,"…m to Wilkie, revealing that during World War I, he helped lynch a Black soldier who humiliated them in front of French civilians. Before the lynching victims antics some of the white French women had …",…rs had also revealed to Wilkie the real reasons for his hatred of Gullah-speaking Southern Blacks like C.J.,,c,
3929,"which country, that lost World War I and was sanctioned for starting it, was not invited to the Antwerp Games along with Germany, Austria, Hungary, and Bulgaria?",Ottoman Empire,Turkey,2024-08-01,2024-09-01 00:00:00,"…one more than in 1912, as Germany, Austria, Hungary, Bulgaria and Ottoman Empire were not invited, having lost World War I and sanctioned for starting it.","…one more than in 1912, as Germany, Austria, Hungary, Bulgaria and Turkey were not invited, having lost World War I and sanctioned for starting it. From the newly created European states, only Estonia …",,c,
3950,how many branches are in the Armed Forces of Ukraine that the Ukrainian Air Force is a part of?,seven,eight,2024-08-01,2024-09-01 00:00:00,"…n Air Force (, PS ZSU) is the air force of Ukraine and one of the seven branches of the Armed Forces of Ukraine. Its current form was created in 2004 by merging the Ukrainian Air Defence Forces into t…","…n Air Force (, PS ZSU) is the air force of Ukraine and one of the eight branches of the Armed Forces of Ukraine. Its current form was created in 2004 by merging the Ukrainian Air Defence Forces into t…",수치?,c,
3970,which club is Vuk Rašović the manager of?,Al-Fayha,Kalba FC,2024-07-01,2024-08-01 00:00:00,"…who played as a defender. He is the manager of Saudi Arabian club Al-Fayha. Playing career Rašović started to play for the youth teams of FK Partizan. He played professionally, initially, with FK Rad …","…yed as a defender. He is the manager of United Arab Emirates club Kalba FC. Playing career Rašović started to play for the youth teams of FK Partizan. He played professionally, initially, with FK Rad …",,g,
3989,what type of mining operation is the Grasberg mine?,Open pit mine,Underground mining operation,2024-07-01,2024-08-01 00:00:00,"…sident of Indonesia Joko Widodo The workings include a very large open pit mine, an underground mine and four concentrators. The open pit mine – which forms a crater wide at the surface – is a high-vo…","…ssan) and four concentrators. The mine is a high-volume, low-cost underground mining operation, producing and milling more than 72 million tonnes of ore in 2023. Ore undergoes primary crushing at the …",,c,
3994,"which town was in the Farragut Community School District, which operated Nishnabotna High School?",Farragut,Imogene,2024-06-01,2024-07-01 00:00:00,"…partment of Education. Retrieved on June 18, 2018. Prior to 2016, Farragut was in the Farragut Community School District,""SCHOOL DISTRICT REFERENCE MAP (2010 CENSUS): Fremont County, IA."" U.S.","…including no under eighteens and none of those over 64. Education Imogene is within the Shenandoah Community School District.""Shenandoah Iowa Department of Education School District Boundary Verificat…",,c,
3998,where did Antonio de Erauso return to before death?,South America,New Spain,2024-10-01,2024-11-01 00:00:00,"…tch up with accounts of him being in Rome at that time. Return to South America and death In 1630 Erauso settled in the New Spain, probably in the city of Orizaba, now in the state of Veracruz, and es…","…tch up with accounts of him being in Rome at that time. Return to New Spain and death In 1630 Erauso settled in the New Spain, probably in the city of Orizaba, now in the state of Veracruz, and establ…",,c,
